"","month","year","Date","Site.Name","COUNTY","meanLAT","meanLONG","Ozone","PM2.5"
"135",1,2018,2018-01-12,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,15
"136",1,2018,2018-01-12,"Millbrook School","Wake",35.856111,-78.574167,35,0
"137",1,2018,2018-01-12,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,12
"138",1,2018,2018-01-12,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,13
"139",1,2018,2018-01-13,"Bryson City","Swain",35.434767,-83.442133,NA,18
"140",1,2018,2018-01-13,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,10
"141",1,2018,2018-01-13,"Clemmons Middle","Forsyth",36.026,-80.342,NA,10
"142",1,2018,2018-01-13,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,20
"143",1,2018,2018-01-13,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,32,15
"144",1,2018,2018-01-13,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,10
"145",1,2018,2018-01-13,"Leggett","Edgecombe",35.988278,-77.5843,NA,0
"146",1,2018,2018-01-13,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,12
"147",1,2018,2018-01-13,"Millbrook School","Wake",35.856111,-78.574167,32,24
"148",1,2018,2018-01-13,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,3
"149",1,2018,2018-01-13,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,8
"150",1,2018,2018-01-14,"Bryson City","Swain",35.434767,-83.442133,NA,28
"151",1,2018,2018-01-14,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,10
"152",1,2018,2018-01-14,"Clemmons Middle","Forsyth",36.026,-80.342,NA,25
"153",1,2018,2018-01-14,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,20
"154",1,2018,2018-01-14,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,6
"155",1,2018,2018-01-14,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,31,26.5
"156",1,2018,2018-01-14,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,20.3333333333333
"157",1,2018,2018-01-14,"Leggett","Edgecombe",35.988278,-77.5843,NA,10
"158",1,2018,2018-01-14,"Linville Falls","Avery",35.972347,-81.933072,NA,10
"159",1,2018,2018-01-14,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,22
"160",1,2018,2018-01-14,"Millbrook School","Wake",35.856111,-78.574167,NA,19.5
"161",1,2018,2018-01-14,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,15.5
"162",1,2018,2018-01-14,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,15
"163",1,2018,2018-01-15,"Bryson City","Swain",35.434767,-83.442133,NA,43
"164",1,2018,2018-01-15,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,21
"165",1,2018,2018-01-15,"Clemmons Middle","Forsyth",36.026,-80.342,NA,30
"166",1,2018,2018-01-15,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,44
"167",1,2018,2018-01-15,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,27,43
"168",1,2018,2018-01-15,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,30
"169",1,2018,2018-01-15,"Leggett","Edgecombe",35.988278,-77.5843,NA,24
"170",1,2018,2018-01-15,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,40
"171",1,2018,2018-01-15,"Millbrook School","Wake",35.856111,-78.574167,NA,35
"172",1,2018,2018-01-15,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,30
"173",1,2018,2018-01-15,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,35
"174",1,2018,2018-01-16,"Bryson City","Swain",35.434767,-83.442133,NA,52
"175",1,2018,2018-01-16,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,20
"176",1,2018,2018-01-16,"Clemmons Middle","Forsyth",36.026,-80.342,NA,69
"177",1,2018,2018-01-16,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,60
"178",1,2018,2018-01-16,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,28,61
"179",1,2018,2018-01-16,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,68
"180",1,2018,2018-01-16,"Leggett","Edgecombe",35.988278,-77.5843,NA,29
"181",1,2018,2018-01-16,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,70
"182",1,2018,2018-01-16,"Millbrook School","Wake",35.856111,-78.574167,24,58
"183",1,2018,2018-01-16,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,37
"184",1,2018,2018-01-16,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,53
"185",1,2018,2018-01-17,"Bryson City","Swain",35.434767,-83.442133,NA,37
"186",1,2018,2018-01-17,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,24
"187",1,2018,2018-01-17,"Clemmons Middle","Forsyth",36.026,-80.342,NA,55
"188",1,2018,2018-01-17,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,54.5
"189",1,2018,2018-01-17,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,15
"190",1,2018,2018-01-17,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,28,40.5
"191",1,2018,2018-01-17,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,47.5
"192",1,2018,2018-01-17,"Leggett","Edgecombe",35.988278,-77.5843,NA,38
"193",1,2018,2018-01-17,"Linville Falls","Avery",35.972347,-81.933072,NA,19
"194",1,2018,2018-01-17,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,51
"195",1,2018,2018-01-17,"Millbrook School","Wake",35.856111,-78.574167,29,56
"196",1,2018,2018-01-17,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,48.5
"197",1,2018,2018-01-17,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,66
"198",1,2018,2018-01-18,"Bryson City","Swain",35.434767,-83.442133,NA,48
"199",1,2018,2018-01-18,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,30
"200",1,2018,2018-01-18,"Clemmons Middle","Forsyth",36.026,-80.342,NA,40
"201",1,2018,2018-01-18,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,45
"202",1,2018,2018-01-18,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,31,40
"203",1,2018,2018-01-18,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,35
"204",1,2018,2018-01-18,"Leggett","Edgecombe",35.988278,-77.5843,NA,31
"205",1,2018,2018-01-18,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,34
"206",1,2018,2018-01-18,"Millbrook School","Wake",35.856111,-78.574167,35,54
"207",1,2018,2018-01-18,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,38
"208",1,2018,2018-01-18,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,50
"209",1,2018,2018-01-19,"Bryson City","Swain",35.434767,-83.442133,NA,52
"210",1,2018,2018-01-19,"Clemmons Middle","Forsyth",36.026,-80.342,NA,54
"211",1,2018,2018-01-19,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,57
"212",1,2018,2018-01-19,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,22,49
"213",1,2018,2018-01-19,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,43
"214",1,2018,2018-01-19,"Leggett","Edgecombe",35.988278,-77.5843,NA,25
"215",1,2018,2018-01-19,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,37
"216",1,2018,2018-01-19,"Millbrook School","Wake",35.856111,-78.574167,32,55
"217",1,2018,2018-01-19,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,34
"218",1,2018,2018-01-19,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,42
"219",1,2018,2018-01-20,"Bryson City","Swain",35.434767,-83.442133,NA,51
"220",1,2018,2018-01-20,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,21
